season_number,episode_number_overall,episode_number,episode_title,episode_description,episode_airdate,episode_director,episode_writer,imdb_rating,imdb_votes,us_viewers_in_millions
15,314,1,Under the Skin,The team search for multiple serial killers. One who removes women's faces and another who cuts up men's torsos. J.J. and Spencer are still reeling after her admission. J.J.'s life is put in danger.,2020-01-08,Nelson McCormick,Christopher Barbour,7.9,661,4.82
15,315,2,Awakenings,"JJ is in the hospital clinging to life having been seriously wounded in Everett Lynch and his daughter Grace Lynch's successful escape from custody. Besides Will, Reid is standing vigil at the hospital, he who is angry at himself for not realizing sooner that JJ was in trouble. If JJ doesn't make it, Reid will not only lose arguably his best friend, but he and she will not have been able to clear the air about the strain that has existed between the two of them since their previous case. Reid is also torn in two different directions emotionally as he is called by the ...",2020-01-08,Alec Smight,Stephanie Sengupta,7.9,627,4.49
15,316,3,Spectator Slowing,The BAU investigates seemingly random fatal explosions throughout Kentucky and Tennessee.,2020-01-15,Kevin Berlandi,Bruce Zimmerman,7.3,554,4.58
15,317,4,Saturday,"The members of the BAU enjoy a Saturday off in vastly different ways. While Rossi and Prentiss help Simmons assemble a new crib, Garcia leads a hacking competition, and Dr. Reid strikes up a conversation with a woman named Maxine",2020-01-22,Edward Allen Bernero,Stephanie Birkitt & Breen Frazier,8.0,750,4.49
15,318,5,Ghost,"Following a series of fatal shootings, the BAU team travels to Des Plaines, Ill to investigate what appears to be a copycat serial killer. There efforts are thrown off track when members of the BAU are targeted.",2020-01-29,Diana Valentine,Bobby Chacon & Jim Clemente,7.4,552,5.88
15,319,6,Date Night,"After a father and daughter get kidnapped, a former foe of the BAU returns with very specific demands for Dr. Reid that give a whole new meaning to the phrase ""wheels up"".",2020-02-05,Marcus Stokes,Breen Frazier,8.6,841,4.35
15,320,7,Rusty,"When the BAU team travels to Denver to investigate several murders, Prentiss is forced to evaluate her relationship with Special Agent Andrew Mendoza (Stephen Bishop).",2020-02-05,Rachel Feldman,Erica Meredith & Erik Stiller,7.1,550,3.74
15,321,8,Family Tree,"Prentiss and J.J. decide about their future as the BAU goes to Beaumont, Texas, to investigate a series of killed businessmen.",2020-02-12,Alec Smight,Bruce Zimmerman,7.3,524,3.94
15,322,9,Face Off,"It has been a year since Rossi nearly died at the hands of Everett Lynch, a.k.a. ""The Chameleon,"" and he has developed some new theories, with inspiration from his former partner, Jason Gideon. The BAU team sets out on an epic hunt to capture Lynch.",2020-02-19,Sharat Raju,Christopher Barbour,8.2,567,5.46
15,323,10,And in the End,"Series Finale. Following an explosive face-to-face encounter with Everett Lynch, Dr. Reid suffers from a brain injury and, while experiencing hallucinations, is visited by ghosts from his past. Also, the BAU makes a shocking discovery about Lynch that affects Rossi personally, and the entire BAU team comes together to celebrate Rossi's retirement.",2020-02-19,Glenn Kershaw,Erica Messer & Kirsten Vangsness,7.4,869,5.36
